DEPTH;CAL;DEN;DTC;DTS;GR;NEU;nmrFF;nmrPhie;nmrPhiT;nmrPerm;PE;RES10;RES90
2060,5564;13,301;2,3146;57,1437;108,2872;23,5185;0,1202;0,0011;0,0045;0,0115;0;10;403,2330017;486,1130981
2060,7088;13,3222;2,3044;56,933;106,4399;25,2697;0,1543;0,0011;0,0044;0,0093;0;10;575,2683716;731,1126099
2060,8612;13,3235;2,2868;50,6437;106,6078;30,8297;0,1785;0,0003;0,0003;0,0024;0;10;441,8854065;533,0684204
2061,0136;13,4087;2,269;47,0671;111,324;36,255;0,1865;0;0,0043;0,0045;0;10;307,8616943;356,0401917
2061,166;13,48;2,2385;47,4509;119,7912;40,1109;0,2035;0;0,0042;0,0066;0;10;331,1586914;403,8380127
2061,3184;13,5897;2,1783;53,6573;125,2087;35,4316;0,2277;0,0004;0,0027;0,006;0;10;313,439209;448,8008118
2061,4708;14,0539;2,1203;59,5084;126,5288;27,7393;0,2637;0,0008;0,0012;0,0054;0;10;397,3304138;622,1727905
2061,6232;15,0225;2,1193;59,3263;123,537;19,9629;0,3083;0,0003;0,0011;0,0163;0;10;477,8649902;745,012085
2061,7756;15,5025;2,1804;59,3216;107,8676;16,853;0,3481;0,0028;0,0154;0,0181;0;9,9355;463,8757019;680,74823
2061,928;15,9306;2,3082;57,9389;100,9865;14,8331;0,3773;0,0177;0,0399;0,0399;0,0161;9,3822;445,4406128;653,2874146
2062,0804;16,2423;2,4555;55,5088;99,9612;14,3282;0,3757;0,0234;0,0471;0,0471;0,0483;8,2234;408,0516052;597,7686768
2062,2328;16,6315;2,5732;52,8136;97,5185;15,1179;0,3591;0,0292;0,0542;0,0542;0,1178;6,7156;381,9025879;571,5302734
2062,3852;16,8611;2,6265;51,1332;96,5784;16,177;0,3424;0,0315;0,0537;0,0546;0,1656;5,428;356,3952942;540,7075195
2062,5376;16,8708;2,637;51,6257;93,5881;17,6583;0,3446;0,0208;0,0417;0,0426;0,0298;4,6456;332,2072144;509,6657104
2062,69;16,8592;2,649;51,6225;86,7546;19,7872;0,37;0,0118;0,0414;0,0415;0,0047;4,2838;328,5404053;509,6657104
