DEPTH;CAL;DEN;DTC;DTS;GR;NEU;nmrFF;nmrPerm;nmrPhie;nmrPhiT;PE;RES10;RES90
2103,9908;12,3683;4,6287;56,5282;107,3179;16,2804;-0,0149;0,0399;651719616;0,0399;0,0399;5,8286;;
2104,1432;12,3691;4,6286;54,5523;106,5607;15,3028;-0,0151;0,0399;650705024;0,0399;0,0399;5,5;;
2104,2956;12,3613;4,6285;53,063;105,7187;13,573;-0,0151;0,0399;651079744;0,0399;0,0399;5,4932;;
2104,448;12,347;4,6262;53,3025;106,1382;12,8013;-0,0154;0,0399;651793792;0,0399;0,0399;5,6864;;
2104,6004;12,3489;4,6193;54,0964;107,3014;12,5043;-0,0157;0,0399;651373760;0,0399;0,0399;6,1205;;
2104,7528;12,3524;4,6232;54,9658;109,1337;13,5062;-0,0159;0,0399;650963584;0,0399;0,0399;6,2626;;
2104,9052;12,355;4,6274;54,0816;110,5344;13,7678;-0,0161;0,0399;650788928;0,0399;0,0399;6,2439;;
2105,0576;12,3557;4,6271;53,4096;111,634;13,5832;-0,0161;0,0399;651751872;0,0399;0,0399;6,2174;;
2105,21;12,3535;4,6288;52,9269;110,9498;12,0426;-0,0162;0,0399;651079744;0,0399;0,0399;6,219;;
2105,3624;12,3474;4,6264;52,9172;109,615;11,0922;-0,0163;0,0399;651919744;0,0399;0,0399;6,2236;;
2105,5148;12,3461;4,6201;52,9593;108,0433;9,9667;-0,0164;0,0399;652508800;0,0399;0,0399;6,2005;;
2105,6672;12,3532;4,6234;52,8703;108,7644;9,9194;-0,0165;0,0399;651131520;0,0399;0,0399;6,1357;;
2105,8196;12,3606;4,6284;52,4042;112,0372;9,6943;-0,0162;0,0399;652270144;0,0399;0,0399;6,0801;;
2105,972;12,3677;4,6282;51,283;118,7993;9,7892;-0,0161;0,0399;651529216;0,0399;0,0399;6,0489;;
2106,1244;12,3717;4,6214;49,9035;121,1932;10,2295;-0,0155;0,0399;651690496;0,0399;0,0399;6,0352;;
2106,2768;12,364;4,6282;48,8651;121,2064;11,1559;-0,0154;0,0399;651751872;0,0399;0,0399;6,0491;;
2106,4292;12,3645;4,6216;50,2593;120,2147;13,4805;-0,0152;0,0399;651047488;0,0399;0,0399;6,0873;;
2106,5816;12,3592;4,6265;53,3407;120,3569;15,7182;-0,015;0,0399;651629312;0,0399;0,0399;6,1425;;
2106,734;12,3602;4,6288;57,3693;120,284;17,5075;-0,0149;0,0399;652592704;0,0399;0,0399;6,1779;;
2106,8864;12,3606;4,6288;60,7339;119,8369;18,0404;-0,0148;0,0399;651751872;0,0399;0,0399;6,195;;
2107,0388;12,3676;4,6263;60,4305;115,4581;16,6627;-0,0145;0,0399;651079744;0,0399;0,0399;6,1976;;
2107,1912;12,3653;4,5922;57,8095;112,4658;15,4411;-0,0146;0,0399;651971648;0,0399;0,0399;6,0764;;
2107,3436;12,363;4,6053;55,1954;109,852;13,5541;-0,0148;0,0399;653060032;0,0399;0,0399;5,6123;;
2107,496;12,3605;4,6269;54,7589;107,1864;12,6466;-0,0152;0,0399;651835776;0,0399;0,0399;5,1777;;
2107,6484;12,3362;4,6282;53,3515;103,4067;10,8306;-0,0155;0,0399;651835776;0,0399;0,0399;5,006;;
2107,8008;12,3371;4,6236;52,043;100,6764;10,213;-0,0152;0,0399;651887552;0,0399;0,0399;5,2033;;
2107,9532;12,3311;4,6251;50,47;100,5197;10,0296;-0,0132;0,0399;652438208;0,0399;0,0399;5,3816;;
2108,1056;12,3288;4,6262;50,8145;100,3802;10,7809;-0,0076;0,0399;653228160;0,0399;0,0399;5,4257;;
2108,258;12,3124;4,6175;50,8305;100,0712;10,6756;0,0056;0,0399;653519040;0,0399;0,0399;5,3355;;
2108,4104;12,3015;4,6213;50,789;99,8185;10,5471;0,0276;0,0399;653519040;0,0399;0,0399;5,3017;;
2108,5628;12,3108;4,6288;50,8508;99,4528;10,3598;0,051;0,0399;653519040;0,0399;0,0399;5,3017;;
2108,7152;12,3012;4,6288;50,965;99,8124;10,2295;0,0544;0,0399;653603200;0,0399;0,0399;5,4336;;
2108,8676;12,3028;4,6286;51,4676;100,2371;11,0565;0,0481;0,04;654329536;0,04;0,04;5,5584;;
2109,02;12,315;4,6255;51,7363;100,6704;10,6531;0,0469;0,0399;654013376;0,0399;0,04;5,6901;;
2109,1724;12,3136;4,6249;51,7263;101,1191;10,3969;0,0429;0,0399;653753344;0,0399;0,0399;5,805;;
2109,3248;12,3055;4,6172;51,4487;100,8448;9,2792;0,0402;0,0399;653571008;0,0399;0,0399;5,8351;;
2109,4772;12,2728;4,6154;51,2719;100,5387;9,4879;0,0394;0,0399;653819264;0,0399;0,0399;5,7975;;
2109,6296;12,2704;4,6288;51,6624;100,08;9,5555;0,0448;0,0399;652003904;0,0399;0,0399;5,7468;;
2109,782;12,2929;4,6288;51,9188;99,9789;9,7022;0,049;0,0399;653519040;0,0399;0,0399;5,751;;
2109,9344;12,3497;4,6249;52,0161;99,9491;9,9151;0,0608;0,0399;653519040;0,0399;0,0399;5,8225;;
2110,0868;12,3475;4,6221;51,9031;99,9838;10,5983;0,0841;0,0399;653603200;0,0399;0,0399;5,933;;
2110,2392;12,3456;4,6258;51,583;100,0883;12,0665;0,1247;0,04;654361728;0,04;0,04;6,036;;
2110,3916;12,332;4,6198;51,1879;99,8107;13,1116;0,1835;0,04;654245312;0,04;0,04;6,1072;;
2110,544;12,3335;4,6268;50,895;99,2784;13,9079;0,2528;0,0399;653169984;0,0399;0,0399;6,1135;;
2110,6964;12,325;4,6267;50,8974;98,8565;14,3629;0,2994;0,0399;652910464;0,0399;0,0399;6,0679;;
2110,8488;12,2991;4,6288;51,0164;98,532;15,9723;0,3004;0,0399;652728512;0,0399;0,0399;6,0054;;
2111,0012;12,2899;4,6288;51,0921;98,327;17,2383;0,2897;0,0399;653228160;0,0399;0,0399;5,9858;;
2111,1536;12,2773;4,6269;51,4041;98,2703;17,319;0,2899;0,0399;653603200;0,0399;0,0399;6,0235;;
2111,306;12,2636;4,6221;52,0231;98,2822;16,1654;0,3094;0,04;654361728;0,04;0,04;6,0941;;
2111,4584;12,2552;4,6268;52,7534;98,634;14,9008;0,3143;0,04;654361728;0,04;0,04;6,1646;;
2111,6108;12,2623;4,6282;53,4429;99,3827;13,8009;0,3466;0,04;654193408;0,04;0,0399;6,2189;;
