DEPTH;CAL;DEN;DTC;DTS;GR;NEU;nmrFF;nmrPerm;nmrPhie;nmrPhiT;PE;RES10;RES90
2163,9552;12,4227;4,6288;68,023;123,2103;13,0512;0,0424;0;;0;0;9,9751;90,6141;6,8785
2164,1076;12,4248;4,6288;68,0836;123,3831;12,3812;0,0436;0,0626;4,121200085;0,0847;0,0847;9,9825;85,5056;3,2845
2164,26;12,4257;4,6288;67,9674;122,9095;12,6507;0,0417;0,0626;4,118899822;0,0847;0,0847;9,9698;58,1721;1,2127
2164,4124;12,4089;4,6288;68,2336;123,1906;13,3299;0,0436;0,0626;4,121200085;0,0847;0,0847;9,9873;26,0502;1,1228
2164,5648;12,3972;4,6288;68,4643;123,0327;13,442;0,0424;0,0626;4,118299961;0,0846;0,0846;9,983;41,7765;1,3141
2164,7172;12,4055;4,6288;68,4618;122,4627;13,1311;0,0384;0,0625;4,115399837;0,0846;0,0846;9,9872;32,9157;2,5378
2164,8696;12,4183;4,6288;68,6696;122,4162;12,2823;0,0282;0,0626;4,118899822;0,0847;0,0847;9,9872;37,4061;4,0238
2165,022;12,4536;4,6288;68,3279;122,2688;12,9402;0,0249;0,0626;4,118899822;0,0847;0,0847;9,9914;9086,6025;14386,0674
2165,1744;12,4472;4,6288;67,9291;121,8153;12,4252;0,0301;0,0626;4,121200085;0,0847;0,0847;9,9901;6153,7295;9721,8574
2165,3268;12,4409;4,6288;67,9846;121,1016;11,9553;0,0403;0,0626;4,121799946;0,0847;0,0847;9,9483;871,0418;1312,0358
2165,4792;12,4273;4,6288;67,7068;121,292;10,9027;0,0474;0,0626;4,122499943;0,0847;0,0847;9,8829;41,8603;9,3683
2165,6316;12,4248;4,6288;67,022;122,8253;11,2048;0,0472;0,0626;4,118899822;0,0847;0,0847;9,7979;80,8996;10,6491
2165,784;12,4444;4,6288;67,5023;124,9909;11,7754;0,0447;0,0626;4,118899822;0,0847;0,0847;9,763;134,7173;11,0691
2165,9364;12,4608;4,6288;68,2396;124,6209;12,1043;0,0444;0,0626;4,122499943;0,0847;0,0847;9,8041;118,4182;11,4529
2166,0888;12,4651;4,6288;68,6389;122,4482;12,6749;0,043;0,0626;4,120699883;0,0847;0,0847;9,8055;100,1057;12,4495
2166,2412;12,4319;4,6288;69,5533;121,6557;12,4064;0,0372;0,0626;4,118899822;0,0847;0,0847;9,805;76,6114;10,7329
2166,3936;12,4208;4,6288;67,4679;122,679;11,9492;0,0256;0,0626;4,122499943;0,0847;0,0847;9,8293;97,1973;12,1304
2166,546;12,4114;4,6288;67,1495;124,7439;11,3786;0,0185;0,0626;4,122499943;0,0847;0,0847;9,9229;129,9966;12,3414
2166,6984;12,4271;4,6288;67,8479;124,6175;11,3115;0,018;0,0626;4,118899822;0,0847;0,0847;10;161,104;30,079
2166,8508;12,4356;4,6288;68,5657;122,8756;11,6472;0,0184;0,0626;4,120699883;0,0847;0,0847;10;213,353;33,351
2167,0032;12,4304;4,6288;69,9479;122,0295;11,6955;0,018;0,0626;4,122499943;0,0847;0,0847;10;222,101;49,8449
2167,1556;12,4426;4,6288;69,7445;122,5846;12,3207;0,0184;0,0626;4,122499943;0,0847;0,0847;9,9706;120,2824;52,884
2167,308;12,4277;4,6288;68,9117;123,4374;12,9584;0,0212;0,0626;4,122499943;0,0847;0,0847;9,9649;150,4254;22,9065
2167,4604;12,4258;4,6288;68,7026;122,8463;12,608;0,0298;0,0626;4,128200054;0,0847;0,0847;9,9504;252,6661;9,9158
2167,6128;12,4243;4,6288;68,0064;121,8652;12,4192;0,0306;0,0626;4,125400066;0,0847;0,0847;9,9653;93,1115;8,54
2167,7652;12,4098;4,6288;67,4109;121,8226;11,6472;0,025;0,0626;4,122499943;0,0847;0,0847;9,9711;53,775;8,8963
2167,9176;12,3969;4,6288;67,5533;122,5468;12,1388;0,0178;0,0626;4,125999928;0,0847;0,0847;9,9726;63,908;4,2443
2168,07;12,3919;4,6288;68,0252;122,8529;12,747;0,0157;0,0626;4,125999928;0,0847;0,0847;9,9733;64,4834;4,5538
2168,2224;12,3895;4,6288;68,5626;122,1568;13,5085;0,0161;0,0626;4,125999928;0,0847;0,0847;9,9502;56,9824;5,2633
2168,3748;12,3528;4,6288;68,3659;121,3838;13,5539;0,0146;0,0626;4,125999928;0,0847;0,0847;9,9216;77,9285;7,4769
2168,5272;12,3628;4,6288;68,0296;121,2371;13,2814;0,0101;0,0626;4,125999928;0,0847;0,0847;9,9021;134,1849;11,922
2168,6796;12,3517;4,6288;66,9153;120,9558;12,5535;0,0056;0,0626;4,122499943;0,0847;0,0847;9,9145;146,5907;15,9293
2168,832;12,3554;4,6288;67,0438;120,8653;12,4528;0,0026;0,0626;4,122499943;0,0847;0,0847;9,9135;176,1201;20,7622
2168,9844;12,3719;4,6288;67,4143;120,678;12,3059;0,0002;0,0626;4,125999928;0,0847;0,0847;9,8999;179,5137;19,8498
2169,1368;12,3687;4,6288;67,4553;120,0216;12,0038;-0,0013;0,0626;4,124199867;0,0847;0,0847;9,9044;238,2402;20,6096
2169,2892;12,3632;4,6288;67,7248;120,301;11,1311;-0,0026;0,0626;4,122499943;0,0847;0,0847;9,947;232,058;21,046
2169,4416;12,3643;4,6288;67,2146;120,3437;10,4724;-0,0029;0,0626;4,129499912;0,0847;0,0847;9,9938;256,0035;13234,7305
2169,594;12,3658;4,6288;67,8722;119,7137;10,6738;-0,0036;0,0626;4,129499912;0,0847;0,0847;9,9929;272,9528;2467,6633
2169,7464;12,3628;4,6288;68,1927;119,2824;10,8356;-0,005;0,0626;4,122499943;0,0847;0,0847;9,9386;319,5958;33,4469
2169,8988;12,3666;4,6288;68,7701;118,5776;10,9698;-0,0068;0,0626;4,124199867;0,0847;0,0847;9,9187;339,0079;32,8739
2170,0512;12,3644;4,6288;68,8981;118,416;10,8691;-0,0079;0,0626;4,125999928;0,0847;0,0847;9,9258;1019,5298;30,6747
2170,2036;12,3632;4,6288;69,0492;118,6482;10,9758;-0,0074;0,0626;4,125999928;0,0847;0,0847;9,9479;2401,5537;35,0439
2170,356;12,3671;4,6288;69,1655;118,6441;11,043;-0,0044;0,0626;4,122499943;0,0847;0,0847;9,9613;796,8655;35,9093
