DEPTH;CAL;DEN;DTC;GR;NEU;nmrFF;nmrPerm;nmrPhie;nmrPhiT;PE;RES10;RES90
2207,9972;;;;24,2817;;0,0011;0;0,0084;0,0084;;;
2208,1496;14,3449;2,1538;67,5442;23,287;0,277;0,0022;0;0,0089;0,009;9,1842;1,273499966;5,326499939
2208,302;15,0833;2,1019;67,4749;21,9938;0,2962;0,0013;0;0,0053;0,006;9,7303;2,490200043;5,235899925
2208,4544;15,8666;2,1201;66,7459;20,5131;0,2899;0,0009;0;0,0026;0,0052;9,9675;6,288000107;9,550900459
2208,6068;16,3178;2,2443;63,5978;20,6047;0,2936;0,0012;0;0,009;0,0128;9,7752;14,11760044;15,17409992
2208,7592;16,4931;2,3793;58,1592;20,0973;0,2773;0,0016;0;0,0292;0,0317;9,1408;21,65660095;9,716799736
2208,9116;16,7193;2,5052;53,1164;20,0589;0,2626;0,0001;0;0,0419;0,0426;8,2724;84,7457962;21,61980057
2209,064;16,773;2,5766;51,2401;18,5875;0,2963;0,0007;0;0,0626;0,0658;7,3266;813,3187256;16,45019913
2209,2164;16,8418;2,627;51,5361;19,4987;0,304;0,0017;1,00E-04;0,0617;0,0667;6,5308;1564,9967;29,93810081
2209,3688;16,8903;2,649;51,8027;21,1967;0,3174;0,011;0,0087;0,0645;0,0716;5,8075;1940,3826;42,43450165
2209,5212;16,914;2,6323;52,2173;22,2397;0,3409;0,0484;0,899500012;0,0801;0,0899;5,3324;1949,9598;62,98929977
2209,6736;16,9554;2,6024;51,2547;22,451;0,3043;0,0516;1,157699943;0,0837;0,0934;5,1845;633,3891;72,67430115
2209,826;16,9483;2,5638;50,8602;21,3158;0,3015;0,0702;4,320799828;0,106;0,1148;5,2519;349,7194;55,24729919
2209,9784;16,7677;2,534;52,7547;21,4623;0,3346;0,067;3,506299973;0,1045;0,1115;5,3538;247,7824;61,97140121
2210,1308;16,7388;2,5325;53,9187;21,9425;0,3218;0,0628;2,638799906;0,1019;0,1071;5,344;162,8082;55,66379929
2210,2832;16,8659;2,5581;57,1744;22,4865;0,227;0,0449;0,658500016;0,0872;0,0917;5,3173;128,3799;51,90390015
2210,4356;16,8732;2,5924;54,1719;21,0744;0,1601;0,0269;0,283100009;0,1563;0,1652;5,435;167,3357;58,71620178
2210,588;16,8958;2,6194;51,3162;17,7788;0,1475;0,0225;0,38440001;0,2386;0,2507;5,7889;216,2234;69,79370117
2210,7404;16,853;2,6358;51,1082;14,6553;0,1425;0,0182;0,414200008;0,318;0,3339;6,2165;263,7626;78,31800079
2210,8928;16,949;2,587;50,831;12,3537;0,1491;0,0139;0,361999989;0,3977;0,4173;6,6436;345,5736;92,14820099
2211,0452;16,8697;2,4574;53,1849;11,2613;0,1268;0,0095;0,281599998;0,5243;0,5485;7,0329;479,9492;110,7061996
2211,1976;16,7627;2,4315;53,8129;11,4223;0,1157;0,0104;0,368999988;0,5452;0,5715;6,9779;611,3693;129,5070038
2211,35;15,8713;2,5315;58,1108;11,6708;0,1236;0,0246;0,756799996;0,3096;0,3274;6,3659;645,6359;156,5630951
