DEPTH;CAL;DEN;DTC;DTS;GR;NEU;nmrFF;nmrPerm;nmrPhie;nmrPhiT;PE;RES10;RES90
2159,9092;12,0887;2,5551;64,1818;109,4545;41,0437;0,1421;0,0638;3,2218;0,0852;0,0978;6,0147;1950;1228,7245
2160,0616;12,0868;2,5476;67,5455;121,4545;29,5736;0,185;0,0823;10,8887;0,1048;0,1157;6,2649;1950;1717,9294
2160,214;12,1655;2,5049;71,4545;129,1818;18,3761;0,2257;0,1069;42,5596;0,1301;0,1382;6,2897;1950;1330,4124
2160,3664;12,2065;2,4389;71,4545;130,8182;13,145;0,2465;0,1149;60,9404;0,1408;0,1465;6,0009;1467,0819;801,1126
2160,5188;12,2545;2,3795;68;125,8182;10,4668;0,2469;0,1032;30,0556;0,1342;0,1402;5,6467;979,6159;694,9829
2160,6712;12,277;2,3855;64;116,8182;13,089;0,214;0,0911;15,0507;0,1261;0,132;5,4873;396,3759;472,1526
2160,8236;12,2721;2,4394;62,1818;110,9091;13,8043;0,1812;0,0813;8,812;0,1188;0,1223;5,491;864,6428;538,6605
2160,976;12,2797;2,5121;62;107,0909;14,3156;0,1541;0,0733;5,5827;0,1111;0,1128;5,5207;977,5243;1534,6029
2161,1284;12,2855;2,5535;62,1818;107,7273;13,5528;0,1743;0,0778;8,0214;0,1119;0,1127;5,508;1168,9878;463,5394
2161,2808;12,2576;2,5533;63,3636;110,9091;13,401;0,2036;0,0987;26,0908;0,1284;0,1327;5,4525;1526,3827;733,8237
2161,4332;12,2746;2,5156;66,5455;116,9091;13,4254;0,2221;0,1167;52,3206;0,1454;0,1559;5,3864;1858,0483;862,6957
2161,5856;12,2642;2,4744;68,5455;120;12,3297;0,2204;0,1242;66,8817;0,1543;0,166;5,3962;1950;952,3199
2161,738;12,2679;2,438;69,7273;120,1818;12,8313;0,2262;0,1277;73,364;0,1593;0,1716;5,4622;1950;929,9839
2161,8904;12,2749;2,4235;70,1818;118;13,4859;0,2199;0,1198;52,787;0,1531;0,1643;5,4706;1950;841,0389
2162,0428;12,2779;2,4366;68,3636;112,0909;14,403;0,2169;0,1033;26,0028;0,1369;0,1474;5,3934;1950;743,5858
2162,1953;12,2724;2,4701;67,6364;110,1818;13,0696;0,1938;0,0857;11,124;0,1158;0,1274;5,2359;1949,7064;379,423
